na_rates,na_rates_actual,grouping_var,value,params,estimates
0.05,0.05,mu_1_Observed data_1,0.6232313938852408,mu_1,Observed data
0.055,0.0525,mu_1_Observed data_1,0.6919500740768489,mu_1,Observed data
0.06,0.06666666666666667,mu_1_Observed data_1,0.37816047576299905,mu_1,Observed data
0.065,0.06333333333333334,mu_1_Observed data_1,0.7517696473130577,mu_1,Observed data
0.07,0.08166666666666667,mu_1_Observed data_1,0.4937483213501381,mu_1,Observed data
0.075,0.06,mu_1_Observed data_1,0.810325360187934,mu_1,Observed data
0.08,0.08333333333333333,mu_1_Observed data_1,0.5100335339748544,mu_1,Observed data
0.085,0.0925,mu_1_Observed data_1,0.3006283564991584,mu_1,Observed data
0.09,0.09583333333333334,mu_1_Observed data_1,0.26657308068144137,mu_1,Observed data
0.095,0.10166666666666667,mu_1_Observed data_1,0.4829508010268738,mu_1,Observed data
0.1,0.08833333333333333,mu_1_Observed data_1,0.4588688600823883,mu_1,Observed data
0.105,0.105,mu_1_Observed data_1,0.7202309374705564,mu_1,Observed data
0.11,0.11416666666666667,mu_1_Observed data_1,0.8693885760063551,mu_1,Observed data
0.115,0.11333333333333333,mu_1_Observed data_1,0.9545858457544296,mu_1,Observed data
0.12,0.10583333333333333,mu_1_Observed data_1,0.5932150647446625,mu_1,Observed data
0.125,0.12583333333333332,mu_1_Observed data_1,0.4867224882612684,mu_1,Observed data
0.13,0.12916666666666668,mu_1_Observed data_1,0.489103219415393,mu_1,Observed data
0.135,0.12583333333333332,mu_1_Observed data_1,0.5401501482478571,mu_1,Observed data
0.14,0.14666666666666667,mu_1_Observed data_1,0.5447111353392653,mu_1,Observed data
0.145,0.15166666666666667,mu_1_Observed data_1,0.5789700394833825,mu_1,Observed data
0.15,0.16,mu_1_Observed data_1,0.18200625770127798,mu_1,Observed data
0.155,0.14916666666666667,mu_1_Observed data_1,0.6675294358824088,mu_1,Observed data
0.16,0.15083333333333335,mu_1_Observed data_1,0.5324196195378259,mu_1,Observed data
0.165,0.1575,mu_1_Observed data_1,0.4273779259212481,mu_1,Observed data
0.17,0.1575,mu_1_Observed data_1,0.4592519240318248,mu_1,Observed data
0.17500000000000002,0.155,mu_1_Observed data_1,0.28060124992286156,mu_1,Observed data
0.18,0.1875,mu_1_Observed data_1,0.48958213100331743,mu_1,Observed data
0.185,0.19583333333333333,mu_1_Observed data_1,0.8317890308282189,mu_1,Observed data
0.19,0.185,mu_1_Observed data_1,0.06385283786625698,mu_1,Observed data
0.195,0.1875,mu_1_Observed data_1,0.5401699085804336,mu_1,Observed data
0.2,0.21166666666666667,mu_1_Observed data_1,0.12181249681516758,mu_1,Observed data
0.20500000000000002,0.185,mu_1_Observed data_1,0.3725481120443276,mu_1,Observed data
0.21,0.2125,mu_1_Observed data_1,0.7858371278611871,mu_1,Observed data
0.215,0.235,mu_1_Observed data_1,0.3454699577094408,mu_1,Observed data
0.22,0.21083333333333334,mu_1_Observed data_1,0.11111947836598668,mu_1,Observed data
0.225,0.22583333333333333,mu_1_Observed data_1,0.20334920786844163,mu_1,Observed data
0.23,0.22333333333333333,mu_1_Observed data_1,0.7214330702331064,mu_1,Observed data
0.23500000000000001,0.23666666666666666,mu_1_Observed data_1,0.8767942047147032,mu_1,Observed data
0.24,0.22,mu_1_Observed data_1,1.270276109042126,mu_1,Observed data
0.245,0.2475,mu_1_Observed data_1,0.9793766354474357,mu_1,Observed data
0.25,0.23833333333333334,mu_1_Observed data_1,0.6291459935704656,mu_1,Observed data
0.255,0.24416666666666667,mu_1_Observed data_1,0.29907725498463905,mu_1,Observed data
0.26,0.26,mu_1_Observed data_1,0.5084753964689719,mu_1,Observed data
0.265,0.24583333333333332,mu_1_Observed data_1,0.5458541032730512,mu_1,Observed data
0.27,0.24833333333333332,mu_1_Observed data_1,0.36618305267585405,mu_1,Observed data
0.275,0.2625,mu_1_Observed data_1,0.24429376553440751,mu_1,Observed data
0.28,0.27666666666666667,mu_1_Observed data_1,0.6660927597837021,mu_1,Observed data
0.28500000000000003,0.2816666666666667,mu_1_Observed data_1,1.034965251343614,mu_1,Observed data
0.29,0.2758333333333333,mu_1_Observed data_1,1.0201314211958747,mu_1,Observed data
0.295,0.27,mu_1_Observed data_1,0.3071154011140119,mu_1,Observed data
0.3,0.2675,mu_1_Observed data_1,0.7166272269157901,mu_1,Observed data
0.305,0.285,mu_1_Observed data_1,1.250031530922196,mu_1,Observed data
0.31,0.30416666666666664,mu_1_Observed data_1,-0.1941458014354327,mu_1,Observed data
0.315,0.2783333333333333,mu_1_Observed data_1,0.9266258860718158,mu_1,Observed data
0.32,0.3225,mu_1_Observed data_1,0.41688579801553866,mu_1,Observed data
0.325,0.30916666666666665,mu_1_Observed data_1,0.6411028632714586,mu_1,Observed data
0.33,0.3,mu_1_Observed data_1,0.21257368208260394,mu_1,Observed data
0.335,0.31333333333333335,mu_1_Observed data_1,0.7229811039658213,mu_1,Observed data
0.34,0.32,mu_1_Observed data_1,0.8095803228980146,mu_1,Observed data
0.34500000000000003,0.3308333333333333,mu_1_Observed data_1,0.8707171948940458,mu_1,Observed data
0.35000000000000003,0.305,mu_1_Observed data_1,0.681310670162497,mu_1,Observed data
0.355,0.32416666666666666,mu_1_Observed data_1,0.3740786042070613,mu_1,Observed data
0.36,0.3358333333333333,mu_1_Observed data_1,0.8845249896825186,mu_1,Observed data
0.365,0.32,mu_1_Observed data_1,0.3868343645151859,mu_1,Observed data
0.37,0.32916666666666666,mu_1_Observed data_1,0.6469929923911634,mu_1,Observed data
0.375,0.3475,mu_1_Observed data_1,0.10787550255022502,mu_1,Observed data
0.38,0.3491666666666667,mu_1_Observed data_1,0.8090554923561294,mu_1,Observed data
0.385,0.335,mu_1_Observed data_1,-0.08918024174086686,mu_1,Observed data
0.39,0.355,mu_1_Observed data_1,1.0615373336141267,mu_1,Observed data
0.395,0.3541666666666667,mu_1_Observed data_1,1.3138601209848821,mu_1,Observed data
0.4,0.3525,mu_1_Observed data_1,0.9141238161428386,mu_1,Observed data
0.405,0.3675,mu_1_Observed data_1,0.3555224757636749,mu_1,Observed data
0.41000000000000003,0.3566666666666667,mu_1_Observed data_1,1.0835440742739544,mu_1,Observed data
0.41500000000000004,0.3575,mu_1_Observed data_1,0.8018928689391167,mu_1,Observed data
